ix,iy,x_m,y_m,Lx1_m,Ly1_m,gap_m,Lx2_m,Ly2_m,x2_m,height_m,cost
1,54,-1.2825e-05,1.0575e-05,2.25e-07,1.75e-07,1e-07,1.75e-07,2e-07,5e-08,6.3e-07,0.857110539558259
1,55,-1.2825e-05,1.1025e-05,2.75e-07,1.7e-07,1.2e-07,2.5e-07,2e-07,1.325e-07,6.3e-07,0.5125420550541
1,56,-1.2825e-05,1.1475e-05,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.798550981430726
1,57,-1.2825e-05,1.1925e-05,2.25e-07,1.7e-07,1.2e-07,1.5e-07,2e-07,5.75e-08,6.3e-07,2.19390379565989
1,58,-1.2825e-05,1.2375e-05,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.391535916837228
1,59,-1.2825e-05,1.2825e-05,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0910132924866331
1,60,-1.2825e-05,1.3275e-05,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.0500030898546377
2,1,-1.1475e-05,-1.3275e-05,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.4907905417596
2,2,-1.1475e-05,-1.2825e-05,2.75e-07,1.8e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,1.32959672962632
2,3,-1.1475e-05,-1.2375e-05,2e-07,1.8e-07,1.2e-07,2.5e-07,2e-07,9.5e-08,6.3e-07,1.23713815551343
2,4,-1.1475e-05,-1.1925e-05,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.751988118988747
2,5,-1.1475e-05,-1.1475e-05,2.5e-07,1.7e-07,1e-07,1.5e-07,2e-07,5e-08,6.3e-07,0.841444587615725
2,6,-1.1475e-05,-1.1025e-05,2.75e-07,1.75e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.523045027389871
2,7,-1.1475e-05,-1.0575e-05,2.5e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,9.75e-08,6.3e-07,0.117446268255207
2,8,-1.1475e-05,-1.0125e-05,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.542410910692361
2,9,-1.1475e-05,-9.675e-06,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.0180043147710877
2,10,-1.1475e-05,-9.225e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.697736981953012
2,11,-1.1475e-05,-8.775e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.276742810776821
2,12,-1.1475e-05,-8.325e-06,2.25e-07,1.75e-07,1e-07,1.5e-07,2e-07,3.75e-08,6.3e-07,0.465073236807235
2,13,-1.1475e-05,-7.875e-06,2e-07,1.75e-07,1e-07,1.5e-07,2e-07,2.5e-08,6.3e-07,0.396106499565172
2,14,-1.1475e-05,-7.425e-06,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.106728509593078
2,15,-1.1475e-05,-6.975e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.21977429079172
2,16,-1.1475e-05,-6.525e-06,3e-07,1.8e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.0637094220016275
2,17,-1.1475e-05,-6.075e-06,2.25e-07,1.8e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.196493310980007
2,18,-1.1475e-05,-5.625e-06,2.25e-07,1.8e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.157101708174791
2,19,-1.1475e-05,-5.175e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.158178232471291
2,20,-1.1475e-05,-4.725e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.0198096015466353
2,21,-1.1475e-05,-4.275e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.388936468573411
2,22,-1.1475e-05,-3.825e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.127640863426292
2,23,-1.1475e-05,-3.375e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.210094173264345
2,24,-1.1475e-05,-2.925e-06,3e-07,1.7e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.338192924888161
2,25,-1.1475e-05,-2.475e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.152121169695193
2,26,-1.1475e-05,-2.025e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0457702432108702
2,27,-1.1475e-05,-1.575e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0663279634058708
2,28,-1.1475e-05,-1.125e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.152576421344706
2,29,-1.1475e-05,-6.74999999999999e-07,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.14466500851655
2,30,-1.1475e-05,-2.25e-07,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.143997907040191
2,31,-1.1475e-05,2.25e-07,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.142665634892099
2,32,-1.1475e-05,6.74999999999999e-07,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.130402923799815
2,33,-1.1475e-05,1.125e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.110115474168021
2,34,-1.1475e-05,1.575e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.0979538325778577
2,35,-1.1475e-05,2.025e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.105842418557897
2,36,-1.1475e-05,2.475e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0412984331512447
2,37,-1.1475e-05,2.925e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0698757498343195
2,38,-1.1475e-05,3.375e-06,3e-07,1.7e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.235913840547294
2,39,-1.1475e-05,3.825e-06,3e-07,1.7e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.509657119425171
2,40,-1.1475e-05,4.275e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.339840564939954
2,41,-1.1475e-05,4.725e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.431740785031134
2,42,-1.1475e-05,5.175e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.246644261708883
2,43,-1.1475e-05,5.625e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.11231299924713
